delivery_delay,delivery_deviation_abs,order_value,product_count,avg_price_per_item,prior_orders,is_repeat_customer,purchase_month,purchase_dow,y_pred_proba,risk_flag
-11,11,164.81,2,82.405,0,0,8,4,0.1609849949506767,0
-8,8,37.58,1,37.58,0,0,7,5,0.11224494749525482,0
1,1,27.0,1,27.0,0,0,2,3,0.18262643760651773,0
-10,10,87.71000000000001,1,87.71000000000001,0,0,2,6,0.11822675001549299,0
-20,20,197.27,1,197.27,0,0,5,1,0.07193909380770541,0
-18,18,36.73,1,36.73,0,0,6,3,0.07606190307208242,0
-6,6,161.71,1,161.71,0,0,7,2,0.11788546249869028,0
-7,7,24.23,1,24.23,0,0,5,0,0.1110287661366646,0
0,0,135.07999999999998,1,135.07999999999998,0,0,12,4,0.1366154152149697,0
-36,36,63.33,1,63.33,0,0,6,4,0.03858635471914886,0
-11,11,35.84,1,35.84,0,0,3,6,0.11055572045546422,0
-16,16,237.81,1,237.81,0,0,3,6,0.09590277689385038,0
-18,18,124.32,1,124.32,0,0,6,2,0.07619685465753405,0
-7,7,107.44,1,107.44,0,0,3,2,0.12148321844589667,0
-11,11,92.18,1,92.18,0,0,8,2,0.09467769598106826,0
-37,37,57.73,1,57.73,0,0,6,4,0.037035048096294126,0
-18,18,214.08,2,107.04,0,0,7,1,0.12399963460994681,0
-9,9,46.78,1,46.78,0,0,3,6,0.11921903659977715,0
-6,6,354.87,1,354.87,0,0,12,2,0.11134005899104131,0
-15,15,118.2,1,118.2,0,0,1,6,0.10096441219409537,0
-8,8,257.88,2,128.94,0,0,10,4,0.1774132877155792,0
29,29,217.74,1,217.74,0,0,2,1,0.9620703838018649,1
-14,14,218.66000000000005,2,109.33,0,0,10,6,0.1468287664207091,0
-28,28,64.42,1,64.42,0,0,2,2,0.05550404296700997,0
-26,26,38.09,1,38.09,0,0,12,1,0.047530666771081136,0
14,14,228.67,1,228.67,0,0,10,1,0.62907300472216,1
-8,8,28.76,1,28.76,0,0,1,0,0.1158696823885749,0
-12,12,130.56,1,130.56,0,0,5,0,0.09435768601144558,0
-14,14,52.38,1,52.38,0,0,4,3,0.09246253098937365,0
-12,12,137.99,1,137.99,0,0,7,5,0.09891108072911749,0
-14,14,109.79,1,109.79,0,0,1,1,0.09605657618542109,0
-18,18,114.04,1,114.04,0,0,2,2,0.08247000786969662,0
10,10,77.57,1,77.57,0,0,10,6,0.47800461358633956,0
-11,11,62.47,1,62.47,0,0,8,0,0.09089831332320815,0
-10,10,536.6,1,536.6,0,0,7,5,0.11589094261991326,0
-17,17,109.78,1,109.78,0,0,6,2,0.07890463751515457,0
-27,27,144.94,1,144.94,0,0,10,3,0.050615472378982236,0
-9,9,62.45,1,62.45,0,0,7,0,0.09993035708998084,0
-18,18,425.04,1,425.04,0,0,6,1,0.07998436410381941,0
-11,11,226.23,1,226.23,0,0,7,0,0.09607077424789856,0
-13,13,44.23,1,44.23,0,0,5,0,0.08920323454162112,0
-12,12,546.12,2,273.06,0,0,5,5,0.1892846313225279,0
-13,13,21.77,1,21.77,0,0,1,2,0.09952295620552562,0
-14,14,42.62,1,42.62,0,0,5,4,0.09200224947457246,0
-13,13,162.77,1,162.77,0,0,8,2,0.0891832544612773,0
-17,17,109.5,1,109.5,0,0,1,2,0.08731065568328485,0
-26,26,237.0,1,237.0,0,0,1,0,0.061441773707241236,0
14,14,65.78,1,65.78,0,0,11,5,0.632526318479894,1
-7,7,443.73,1,443.73,0,0,1,4,0.13986182468754363,0
-51,51,143.73000000000002,1,143.73000000000002,0,0,3,0,0.0213424849237637,0
-21,21,228.79,1,228.79,0,0,7,3,0.06930303922964366,0
-21,21,107.81,1,107.81,0,0,4,6,0.07563477668771662,0
-3,3,119.32,1,119.32,0,0,8,6,0.13644066462542245,0
-14,14,181.82,1,181.82,0,0,7,2,0.0879972544328215,0
-12,12,157.45999999999998,1,157.45999999999998,0,0,8,1,0.09091486966836507,0
-21,21,36.98,1,36.98,0,0,3,4,0.07338745881953578,0
-3,3,216.32,1,216.32,0,0,8,2,0.1303612359218623,0
-18,18,147.38,1,147.38,0,0,8,0,0.07098110386547843,0
-15,15,142.51,1,142.51,0,0,1,4,0.0980919851730928,0
-4,4,178.59,1,178.59,0,0,12,4,0.1193503636555543,0
-10,10,542.66,1,542.66,0,0,5,2,0.1147559754832613,0
-19,19,137.26,1,137.26,0,0,3,0,0.07551051467802357,0
-15,15,63.74,2,31.87,0,0,4,0,0.13659569601496138,0
-5,5,162.79,1,162.79,0,0,11,6,0.12092067577315752,0
-13,13,77.59,1,77.59,0,0,7,0,0.08630151609762766,0
13,13,103.47,1,103.47,0,0,5,1,0.6083054503728854,1
-29,29,433.98,2,216.99,0,0,10,3,0.08705641681752653,0
-7,7,259.15,1,259.15,0,0,3,4,0.12959618909500806,0
-14,14,251.09,1,251.09,0,0,7,3,0.09087965135355136,0
-21,21,103.28,1,103.28,1,1,1,6,0.06923036281155161,0
-25,25,85.03999999999999,1,85.03999999999999,0,0,12,5,0.05368056122054585,0
-6,6,62.91,1,62.91,0,0,7,2,0.11546327464019637,0
-13,13,64.42,1,64.42,0,0,4,3,0.09623701292462485,0
-11,11,52.38,1,52.38,0,0,6,4,0.1010821395572726,0
-14,14,128.95000000000002,1,128.95000000000002,0,0,3,0,0.09109182075218666,0
-45,45,83.32,1,83.32,0,0,6,2,0.026073584912253485,0
-19,19,24.130000000000003,1,24.130000000000003,0,0,6,1,0.07048622180757799,0
78,78,112.33,1,112.33,0,0,8,1,0.9999881543926014,1
-9,9,76.18,1,76.18,0,0,8,0,0.09824966223972689,0
-4,4,82.65,1,82.65,0,0,8,2,0.12229430418592346,0
-8,8,41.04,1,41.04,0,0,8,2,0.1047022512807727,0
-13,13,32.77,1,32.77,0,0,12,4,0.08278371679526267,0
-1,1,26.01,1,26.01,0,0,6,1,0.13762670809438687,0
-7,7,109.04,2,54.52,0,0,3,1,0.18935108792072747,0
-11,11,44.18,1,44.18,0,0,7,3,0.09724479385628891,0
-16,16,84.00999999999999,1,84.00999999999999,0,0,12,5,0.07600220747025659,0
-22,22,49.85,1,49.85,0,0,5,5,0.06918321828243301,0
-5,5,158.74,1,158.74,0,0,8,6,0.1280374652573639,0
-14,14,39.78,1,39.78,0,0,2,1,0.09274437220332606,0
-21,21,993.55,1,993.55,0,0,7,0,0.07782498488693947,0
-19,19,109.29,1,109.29,0,0,8,6,0.0752585624815337,0
-8,8,189.08,2,94.54,0,0,4,2,0.1874388270298648,0
-31,31,198.7,2,99.35,0,0,8,5,0.07982407539589176,0
-22,22,68.22,1,68.22,0,0,5,2,0.06588509529615587,0
-14,14,127.98,1,127.98,0,0,4,5,0.09725428729935968,0
-19,19,1600.51,1,1600.51,0,0,4,6,0.112498450185324,0
-7,7,58.25,1,58.25,0,0,4,6,0.1260237093157328,0
-21,21,73.96000000000001,1,73.96000000000001,0,0,11,4,0.0627534489368297,0
-22,22,364.75,1,364.75,0,0,3,4,0.07591956126260586,0
-7,7,83.23,1,83.23,0,0,2,2,0.12323729400536362,0
-10,10,171.88,1,171.88,0,0,8,2,0.09997170841167594,0
-9,9,109.23,1,109.23,0,0,3,5,0.11879319205790317,0
-12,12,258.38,2,129.19,0,0,7,5,0.1660574627056133,0
-3,3,32.379999999999995,1,32.379999999999995,0,0,11,5,0.12443863680398867,0
-2,2,82.86,1,82.86,0,0,8,1,0.1293047084795396,0
-7,7,78.88,1,78.88,0,0,5,4,0.12008722938051176,0
-12,12,96.02,1,96.02,0,0,3,3,0.10258484317752731,0
-15,15,46.69,1,46.69,0,0,6,0,0.08109667773538629,0
-11,11,89.25,1,89.25,0,0,5,4,0.1039213392130024,0
-28,28,49.6,1,49.6,0,0,9,6,0.051333961611373026,0
-30,30,187.96,1,187.96,0,0,10,6,0.04794756727844949,0
-2,2,777.6800000000001,1,777.6800000000001,0,0,5,1,0.15768531146962722,0
-16,16,63.9,1,63.9,0,0,11,3,0.07457325062649699,0
-21,21,272.04,1,272.04,0,0,7,4,0.07121070619284585,0
-4,4,236.81,1,236.81,0,0,9,2,0.123867831934452,0
-10,10,204.83,1,204.83,0,0,9,6,0.10563508189089511,0
11,11,31.130000000000003,1,31.130000000000003,0,0,3,6,0.5558408990273679,0
-10,10,154.53,1,154.53,0,0,4,2,0.10781154978896887,0
-2,2,149.87,1,149.87,0,0,2,5,0.156705447950928,0
-19,19,71.38,2,35.69,0,0,1,4,0.13422469514127766,0
-6,6,269.2,4,67.3,0,0,3,4,0.4451866719984532,0
-17,17,65.33,1,65.33,0,0,6,2,0.07813954530442387,0
-10,10,23.72,1,23.72,0,0,2,0,0.10545235546498621,0
-6,6,119.32,1,119.32,0,0,10,0,0.10651839812936087,0
-20,20,31.22,1,31.22,0,0,7,5,0.07140567701607357,0
-4,4,94.35,1,94.35,0,0,9,0,0.11629159239314193,0
-16,16,190.28,1,190.28,0,0,6,1,0.08197748053808658,0
-21,21,79.50999999999999,1,79.50999999999999,0,0,6,1,0.06606927348798623,0
11,11,66.64,1,66.64,0,0,11,5,0.5092693148616101,0
12,12,300.6,2,150.29999999999998,0,0,12,5,0.6927729221751235,1
-8,8,108.46,1,108.46,0,0,4,0,0.1111093748677725,0
-7,7,34.0,1,34.0,0,0,2,3,0.12401807876013751,0
-8,8,77.22,1,77.22,0,0,6,3,0.11161750566512224,0
-11,11,99.32,1,99.32,0,0,8,5,0.09980788351906211,0
-20,20,199.79,1,199.79,0,0,12,6,0.06806857143752075,0
-20,20,61.77,1,61.77,0,0,10,0,0.06186752049714298,0
-14,14,46.1,1,46.1,0,0,2,5,0.09944530764786037,0
-8,8,123.39,1,123.39,0,0,7,0,0.10506350688955421,0
-2,2,47.93,1,47.93,0,0,8,4,0.13485736875204796,0
-7,7,118.54,1,118.54,0,0,5,5,0.12311551982266614,0
-1,1,211.01,1,211.01,0,0,1,6,0.1699362911358624,0
3,3,78.2,1,78.2,0,0,3,5,0.24355819974229498,0
-7,7,624.9,1,624.9,0,0,5,3,0.13231633227645379,0
-12,12,233.93,1,233.93,0,0,2,2,0.10594513103654145,0
-6,6,119.45,1,119.45,0,0,7,2,0.11684407018664578,0
-9,9,215.01,1,215.01,0,0,8,3,0.10649563977658126,0
-21,21,70.53,1,70.53,0,0,7,4,0.06810464667837915,0
-3,3,321.57,1,321.57,0,0,9,3,0.13285972889656833,0
-15,15,159.65,1,159.65,0,0,6,1,0.0845750039684498,0
0,0,874.42,1,874.42,0,0,3,6,0.1929217726026433,0
-7,7,66.72,1,66.72,0,0,5,0,0.11203034577733446,0
-8,8,44.09,1,44.09,0,0,12,3,0.09843229460231326,0
2,2,112.08,1,112.08,0,0,4,5,0.21147879017574833,0
-14,14,67.36,1,67.36,0,0,4,0,0.08809493360522525,0
-17,17,41.69,1,41.69,0,0,11,6,0.07527713678211388,0
-19,19,64.0,1,64.0,0,0,11,2,0.06529537766064232,0
-11,11,126.48,1,126.48,0,0,2,5,0.11301179398227805,0
-16,16,90.85,1,90.85,0,0,9,1,0.07545881454304998,0
-11,11,40.94,1,40.94,0,0,5,0,0.09608024063876153,0
-29,29,147.78,1,147.78,0,0,6,2,0.050018327884854066,0
-10,10,67.57,1,67.57,0,0,1,0,0.1085600881202522,0
8,8,70.75,1,70.75,0,0,3,5,0.4276644430011977,0
-4,4,42.35,1,42.35,0,0,1,5,0.14565918475610395,0
-9,9,64.55,1,64.55,0,0,4,2,0.1097415815583399,0
-6,6,504.48,3,168.16,0,0,1,1,0.34110076570413994,0
-10,10,349.53,1,349.53,0,0,3,2,0.11457770716253393,0
-11,11,260.55,1,260.55,0,0,7,2,0.10014033046966664,0
-22,22,183.05,1,183.05,0,0,6,4,0.06858514193573817,0
-19,19,151.11,1,151.11,0,0,2,3,0.0814483853132024,0
0,0,90.5,2,45.25,0,0,8,2,0.2202875793242201,0
-22,22,45.13,1,45.13,0,0,3,5,0.07200838627000947,0
-15,15,136.64,1,136.64,0,0,8,2,0.08222502071030387,0
-17,17,132.05,1,132.05,0,0,8,2,0.07612411029962586,0
2,2,64.03999999999999,1,64.03999999999999,0,0,4,4,0.20646277803751759,0
-28,28,336.56,1,336.56,0,0,1,3,0.06131553142371424,0
-4,4,40.77,1,40.77,0,0,5,2,0.12846906235114833,0
-21,21,166.59,1,166.59,0,0,11,2,0.06183055972571881,0
-12,12,30.270000000000003,1,30.270000000000003,0,0,9,1,0.08667982991515334,0
-11,11,25.85,1,25.85,0,0,8,2,0.09333384340689184,0
-5,5,108.83,1,108.83,0,0,2,6,0.14212690020010227,0
-7,7,93.78,1,93.78,0,0,6,4,0.11814100384150301,0
-8,8,149.69,1,149.69,0,0,11,1,0.09926774162228678,0
-9,9,226.22,1,226.22,0,0,6,0,0.10555732400182116,0
-13,13,43.58,1,43.58,0,0,11,0,0.07899232596452634,0
-7,7,185.83,1,185.83,0,0,3,2,0.1234875016554327,0
-11,11,89.1,1,89.1,0,0,7,1,0.0948873074211152,0
-8,8,110.72,1,110.72,0,0,6,2,0.11053646994476846,0
-13,13,770.24,4,192.56,0,0,3,1,0.4193681845636651,0
-10,10,186.92,1,186.92,0,0,7,4,0.1058327911819589,0
-8,8,147.97,1,147.97,0,0,2,0,0.11651303268949831,0
-4,4,35.4,1,35.4,0,0,9,5,0.12483043469923565,0
-11,11,101.73,1,101.73,0,0,11,0,0.08630128536713273,0
-17,17,227.66,7,32.52285714285714,0,0,4,3,0.7000887944667202,1
-20,20,66.91,1,66.91,0,0,12,6,0.06609053891064817,0
-28,28,79.38,1,79.38,0,0,6,4,0.053092028379904926,0
-19,19,98.16,1,98.16,0,0,4,0,0.07334788660914472,0
-21,21,147.55,1,147.55,0,0,4,0,0.06867368966432767,0
-11,11,21.04,1,21.04,0,0,4,2,0.10098188344757714,0
-12,12,136.8,1,136.8,0,0,4,2,0.09973805141226626,0
0,0,49.69,1,49.69,0,0,6,0,0.14098732789914442,0
-14,14,144.31,1,144.31,0,0,4,4,0.09594241871569846,0
-15,15,199.26,1,199.26,0,0,8,1,0.08192206843922531,0
-10,10,42.47,1,42.47,0,0,6,2,0.10118407187390928,0
-24,24,101.34,1,101.34,0,0,12,2,0.053096276147035076,0
-13,13,114.58,1,114.58,0,0,7,0,0.08699791020925224,0
-12,12,36.48,1,36.48,0,0,11,2,0.08481473844189115,0
-9,9,66.99,1,66.99,0,0,3,2,0.11197646125599611,0
-30,30,116.84,1,116.84,0,0,8,6,0.04920778865957087,0
-16,16,96.47,1,96.47,0,0,5,2,0.08339545671526473,0
-22,22,26.78,1,26.78,1,1,6,6,0.05904742706444406,0
-6,6,105.08,1,105.08,0,0,2,5,0.13483601615549923,0
-16,16,60.05,1,60.05,0,0,7,3,0.08083799742697266,0
-14,14,182.29,1,182.29,0,0,12,4,0.08234850727369017,0
-21,21,64.42,1,64.42,0,0,4,2,0.06983779513554318,0
-35,35,259.4,1,259.4,0,0,3,1,0.04236993846683698,0
32,32,132.48,1,132.48,0,0,2,3,0.9771815222706234,1
-13,13,33.37,1,33.37,0,0,4,1,0.09237500842008366,0
-15,15,144.66,1,144.66,0,0,12,5,0.08001042348451473,0
0,0,40.6,1,40.6,0,0,11,0,0.12789020903542153,0
-23,23,231.45,1,231.45,0,0,4,4,0.06950988706691531,0
-26,26,78.51,1,78.51,0,0,6,4,0.057391551901847394,0
-20,20,100.54,1,100.54,0,0,3,1,0.07336577536721706,0
-21,21,2148.4,2,1074.2,0,0,11,1,0.1986958797383745,0
-20,20,276.13,5,55.226,0,0,5,3,0.4185535493323446,0
-1,1,140.0,1,140.0,0,0,9,2,0.13524138076361725,0
-5,5,148.76,2,74.38,0,0,1,1,0.21222837532012695,0
-29,29,138.41,1,138.41,0,0,7,5,0.05158199911832635,0
-17,17,418.17,1,418.17,0,0,12,4,0.07736585937402435,0
-5,5,64.58,2,32.29,0,0,5,4,0.20152284366699746,0
-22,22,200.08,1,200.08,0,0,1,4,0.07627208575984486,0
-23,23,146.9,1,146.9,0,0,11,3,0.05798005678492101,0
-16,16,177.59,1,177.59,0,0,2,4,0.09332725612640735,0
-10,10,35.05,1,35.05,0,0,6,5,0.10629580816864061,0
-10,10,103.27,1,103.27,0,0,8,4,0.10192421121969053,0
-12,12,283.54,1,283.54,0,0,4,1,0.10118298713896995,0
-8,8,107.78,1,107.78,0,0,10,2,0.10207799062376528,0
-8,8,106.16,1,106.16,0,0,11,6,0.10705768611917346,0
-14,14,128.59,1,128.59,0,0,6,3,0.09029905318587095,0
-21,21,181.05,1,181.05,0,0,6,2,0.06877722464811795,0
-18,18,223.88,1,223.88,0,0,3,1,0.08135090059753579,0
-8,8,94.36,1,94.36,0,0,8,2,0.10589722738488609,0
-4,4,141.14,2,70.57000000000001,0,0,7,1,0.19689155954846033,0
-15,15,45.07,1,45.07,0,0,1,6,0.09939623943998008,0
-8,8,77.57,1,77.57,0,0,10,6,0.10852838006083275,0
-6,6,63.61,1,63.61,0,0,3,6,0.13332196161260643,0
-13,13,16.78,1,16.78,0,0,2,0,0.09417834470520907,0
-13,13,55.6,1,55.6,0,0,11,1,0.08059125900665072,0
-11,11,169.37,1,169.37,0,0,4,5,0.10964977900427289,0
-29,29,121.68,1,121.68,0,0,5,4,0.0526334999216897,0
3,3,68.66,1,68.66,0,0,11,4,0.208960249287153,0
-15,15,126.66,2,63.33,0,0,12,3,0.12578968115483008,0
-9,9,204.24,1,204.24,0,0,3,3,0.11720773144246621,0
-12,12,88.94,1,88.94,0,0,3,3,0.10242989461261583,0
-8,8,388.74,1,388.74,0,0,6,3,0.11918000120178893,0
-14,14,2304.68,1,2304.68,0,0,7,4,0.1423992512559718,0
-21,21,111.32,1,111.32,0,0,11,2,0.061072259302436586,0
-5,5,130.15,1,130.15,0,0,11,4,0.11615662997361148,0
-16,16,57.93,1,57.93,0,0,4,3,0.08586206898827119,0
0,0,36.69,1,36.69,0,0,3,6,0.1637728566200668,0
-4,4,73.62,1,73.62,0,0,10,1,0.11546102940389491,0
-13,13,414.06,2,207.03,0,0,3,5,0.18174602360951084,0
-21,21,72.05,1,72.05,0,0,12,4,0.06144029257416622,0
-17,17,67.78999999999999,1,67.78999999999999,0,0,11,5,0.07439722816265927,0
22,22,83.00999999999999,1,83.00999999999999,0,0,10,3,0.8677575654722396,1
-24,24,170.68,1,170.68,0,0,7,5,0.06312840135035168,0
-17,17,138.74,1,138.74,0,0,4,1,0.08127374159538374,0
-3,3,85.27,1,85.27,0,0,7,4,0.13365576868005338,0
4,4,85.14,1,85.14,0,0,12,6,0.24180466375263748,0
-22,22,437.84,1,437.84,0,0,6,1,0.06883199807168412,0
-7,7,41.64,1,41.64,0,0,7,0,0.10713737776880161,0
-15,15,44.42,1,44.42,0,0,3,1,0.08763329685679366,0
-15,15,44.42,1,44.42,1,1,3,1,0.07561563936682171,0
-10,10,81.78,1,81.78,2,1,3,1,0.07697089813553233,0
-10,10,81.78,1,81.78,3,1,3,1,0.06413627017303106,0
-12,12,71.13,1,71.13,0,0,12,3,0.0852088728374567,0
-9,9,187.94,1,187.94,0,0,4,1,0.11076522756071977,0
-25,25,95.22,1,95.22,0,0,3,4,0.0637338234845331,0
-19,19,68.32,1,68.32,0,0,5,1,0.07265261996253511,0
-15,15,95.21,1,95.21,0,0,6,1,0.083395706496409,0
-24,24,91.0,2,45.5,0,0,4,5,0.10810906029251846,0
-13,13,284.23,1,284.23,0,0,4,1,0.09750154071722884,0
-19,19,37.13,1,37.13,0,0,4,3,0.0762707391404457,0
-34,34,35.09,1,35.09,0,0,6,4,0.04150319892144416,0
-13,13,178.46,1,178.46,0,0,1,4,0.10645953451240478,0
-11,11,142.0,2,71.0,0,0,4,3,0.16930285932297423,0
-19,19,280.65,1,280.65,0,0,8,2,0.07286497787801584,0
-27,27,115.4,1,115.4,0,0,6,3,0.05467046078475157,0
-17,17,67.43,1,67.43,0,0,6,5,0.08236455570661952,0
-12,12,124.83,1,124.83,0,0,7,5,0.09863240987214957,0
-7,7,23.28,1,23.28,0,0,8,6,0.11575321183024848,0
-15,15,92.05,1,92.05,0,0,7,5,0.08752362308719282,0
-22,22,246.38,1,246.38,0,0,12,5,0.06254945782289027,0
-11,11,27.87,1,27.87,0,0,1,1,0.1055169170398521,0
-6,6,51.14,1,51.14,0,0,2,1,0.12484129146315415,0
-8,8,71.85,1,71.85,0,0,5,3,0.11369834566567243,0
-9,9,372.69,1,372.69,0,0,1,2,0.12413948364033507,0
-25,25,127.14,1,127.14,0,0,2,2,0.0632493057291117,0
-3,3,246.99,3,82.33,0,0,5,3,0.33142237353201576,0
-15,15,351.33,1,351.33,0,0,4,6,0.09998632827204018,0
-16,16,212.43,1,212.43,0,0,7,2,0.08213516345221429,0
-15,15,146.18,2,73.09,0,0,12,4,0.128757231437439,0
-15,15,109.31,1,109.31,0,0,5,3,0.08836239548154841,0
-14,14,168.08,1,168.08,0,0,7,2,0.08773529408307032,0
-14,14,137.99,1,137.99,0,0,8,1,0.08395573275983377,0
-2,2,28.69,1,28.69,0,0,11,5,0.1289116396924082,0
-18,18,65.0,1,65.0,0,0,12,2,0.06649306393932022,0
-11,11,73.00999999999999,1,73.00999999999999,0,0,7,4,0.09953122667925783,0
-15,15,123.49,1,123.49,0,0,7,0,0.08081218410245894,0
-25,25,147.15,1,147.15,0,0,1,6,0.06960267035429496,0
-10,10,185.9,1,185.9,0,0,4,5,0.1141456709888886,0
-12,12,215.05,1,215.05,0,0,9,6,0.09829445809147436,0
-16,16,128.45,1,128.45,0,0,4,6,0.09181181853441406,0
-9,9,95.83,1,95.83,0,0,11,4,0.09950282503946974,0
-23,23,44.09,1,44.09,0,0,12,5,0.05750588177109176,0
-18,18,68.89,1,68.89,0,0,9,1,0.0695538597632191,0
-3,3,81.24000000000001,1,81.24000000000001,0,0,3,2,0.13950167571781852,0
15,15,45.2,1,45.2,0,0,11,1,0.6527693957647659,1
-14,14,159.31,1,159.31,0,0,2,5,0.1018832946382043,0
-19,19,34.86,1,34.86,0,0,4,0,0.07233096603123831,0
-15,15,292.22,2,146.11,0,0,1,2,0.161319463877669,0
-9,9,127.71,1,127.71,0,0,3,1,0.11153242227243394,0
-8,8,40.55,1,40.55,0,0,2,1,0.1158316734670966,0
-15,15,46.94,1,46.94,0,0,8,2,0.08062903024185022,0
-10,10,40.61,1,40.61,0,0,11,2,0.09153403912868278,0
-2,2,124.88,2,62.44,0,0,11,6,0.2102380526568541,0
-16,16,92.57,1,92.57,0,0,12,6,0.07748685491244246,0
-6,6,186.96,2,93.48,0,0,3,4,0.20998284812740303,0
-8,8,123.75,1,123.75,0,0,7,1,0.10686375377417495,0
-16,16,373.22,2,186.61,0,0,3,5,0.16180970226494884,0
-9,9,235.13,1,235.13,0,0,6,5,0.11504242794683611,0
-14,14,29.69,1,29.69,0,0,4,5,0.09522070504546458,0
-2,2,148.70000000000002,1,148.70000000000002,0,0,7,5,0.1426204442210555,0
-35,35,39.37,1,39.37,0,0,8,6,0.03968671131992682,0
-5,5,42.86,1,42.86,0,0,8,2,0.11694740590485705,0
-15,15,159.86,1,159.86,0,0,1,1,0.09353365464480812,0
-10,10,87.97,1,87.97,0,0,5,1,0.10246440025036367,0
0,0,28.19,1,28.19,0,0,3,3,0.1558817487324283,0
-3,3,274.39,3,91.46333333333332,0,0,1,0,0.34125365603684615,0
-5,5,70.88,1,70.88,0,0,5,4,0.1288821040909689,0
-39,39,108.2,1,108.2,0,0,6,5,0.03523458841541447,0
-10,10,226.31,3,75.43666666666667,0,0,8,5,0.26332053550705253,0
-21,21,49.37,1,49.37,0,0,4,1,0.06839039214733554,0
-15,15,199.4,1,199.4,0,0,7,5,0.08958469137870427,0
-11,11,75.19,1,75.19,0,0,4,3,0.10390560959862324,0
-21,21,213.43,1,213.43,0,0,1,5,0.0808612044026446,0
-5,5,161.62,1,161.62,0,0,10,2,0.11531175015783297,0
-21,21,123.47,1,123.47,0,0,8,4,0.0675041995019432,0
-13,13,114.52,1,114.52,0,0,5,1,0.09214143929844636,0
-4,4,36.98,1,36.98,0,0,5,5,0.13485327265254282,0
-8,8,227.27,1,227.27,0,0,8,3,0.11077821073279182,0
-14,14,35.0,1,35.0,0,0,5,4,0.09185093328570497,0
-20,20,273.25,1,273.25,0,0,4,6,0.08147138921148407,0
-10,10,132.82,1,132.82,0,0,8,2,0.09913875727985869,0
-4,4,475.47,1,475.47,0,0,4,3,0.14552451945983025,0
-22,22,57.11,1,57.11,0,0,8,0,0.05961143419673657,0
-12,12,147.96,1,147.96,0,0,5,5,0.10313892576245877,0
-14,14,24.68,1,24.68,0,0,1,1,0.09431290244575372,0
-9,9,152.17000000000002,1,152.17000000000002,0,0,11,6,0.1041889759597705,0
-40,40,64.0,1,64.0,0,0,8,1,0.029841976241225154,0
-9,9,48.72,1,48.72,0,0,3,1,0.10968395438872316,0
0,0,58.59,1,58.59,0,0,1,3,0.16276786665452275,0
-17,17,73.47,1,73.47,0,0,7,5,0.08081672513956131,0
-7,7,185.03,1,185.03,0,0,10,2,0.10768054253793333,0
-15,15,33.54,1,33.54,0,0,4,5,0.09179670193261869,0
-18,18,114.26,1,114.26,0,0,8,4,0.07558358932130133,0
